id,Author,Journal,Year,SppLatin,SppPhylo,SppCommon,Family,Order,Flight,Bird.Type,SppMass,Location,Continent,Sexes,Ages,Control.Group..Y...N.,Effect.Size,Nsamp,How,Type,SubType,Period.Tracked,Tag.Type,Attachment.Type,AttachmentClass,Attachment.Position,Tag.Weight,Weight.Proportion,WeightRaw,Deployment.Duration,Study,Inclusion,,,
1,Ackerman,Wildlife Soc Bull ,2004,Ptychoramphus aleuticus,Ptychoramphus_aleuticus,Cassin's Auklet,Alcidae,Charadriiformes,flap,seabird,150,USA,N America,both,ad,Y,-0.1796,189,Contingency,Survival,Returns,breeding,VHF,Subcutaneous prongs & glued transmitters to feathers,Subcut,Back,3.1,2.07%,0.020666667,365,Ackerman Wildlife Soc Bull  2004Survival,1,,,
2,Anich,J Field Ornith,2009,Limnothlypis swainsonii,Limnothlypis_swainsonii,Swainson's warbler,Parulidae,Passeriformes,flap,passerine,15.5,USA,N America,both,ad,Y,0.07,126,Contingency,Survival,Returns,annual,VHF,glued onto skin between shoulders,TapeGlue,Back,0.51,3.29%,0.032903226,365,Anich J Field Ornith 2009Survival,1,,,
3,Arbeiter,Vogel Hidd,2012,Merops apiaster,Merops_apiaster,European Bee eater,Meropidae,Coraciiformes,flap,passerine,54,Germany,Europe,both,ad,Y,-0.429,80,Contingency,Survival,Returns,annual,GLS,harness,Harness,Back,1,1.85%,0.018518519,365,Arbeiter Vogel Hidd 2012Survival,1,,,
4,Arlt,PLoS one,2013,Oenanthe oenanthe,Oenanthe_oenanthe,Northern wheatear,Muscicapidae,Passeriformes,flap,passerine,23,Sweden,Europe,both,ad,Y,-0.117,201,Contingency,Survival,Returns,annual,GLS,rubber elastic harness,Harness,Back,1.2,4.80%,0.048,365,Arlt PLoS one 2013Survival,1,,,
5,Bachler,Condor,2007,Sylvia hortensis,Sylvia_hortensis,Orphean warbler,Sylviidae,Passeriformes,flap,passerine,24,Mauritania,Africa,both,ad,Y,0.139,75,Contingency,Survival,Returns,migration,VHF,leg-loop harness,Harness,Back,0.4,1.67%,0.016666667,20,Bachler Condor 2007Survival,1,,,
6,Bachler,PLoS one,2010,Upupa epops,Upupa_epops,European Hoopoe,Upupidae,Bucerotiformes,flap,passerine,70.5,Switzerland,Europe,both,ad,Y,-0.184,44,Contingency,Survival,Returns,annual,GLS,silicone leg loop harness,Harness,Back,1.8,2.55%,0.025531915,365,Bachler PLoS one 2010Survival,1,,,
7,Bairlein,Biol Letts,2012,Oenanthe oenanthe,Oenanthe_oenanthe,Northern wheatear,Muscicapidae,Passeriformes,flap,passerine,25,Canada,N America,both,ad,Y,0.1107,49,Contingency,Survival,Returns,migration,GLS,rubber elastic harness,Harness,Back,1.2,4.80%,0.048,90,Bairlein Biol Letts 2012Survival,1,,,
8,Blackburn,J Av Biol,2016,Saxicola rubetra,Saxicola_rubetra,Whinchat,Muscicapidae,Passeriformes,flap,passerine,15,Nigeria,Africa,both,ad,Y,0.0302,472,Contingency,Survival,Returns,annual ,GLS,Leg loop harness,Harness,Back,0.69,4.60%,0.046,365,Blackburn J Av Biol 2016Survival,1,,,
9,Boag,J Wildl Manag,1973,Lagopus lagopus,Lagopus_lagopus,Red Grouse,Phasianidae,Galliformes,flap,gamebird,620,UK,Europe,both,ad,Y,0.0151,406,Contingency,Survival,Returns,nonbreeding,VHF,backpack,Harness,Back,25,4.03%,0.040322581,183,Boag J Wildl Manag 1973Survival,1,,,
10,Brown,Unpub,2011,Turdus migratorius,Turdus_migratorius,American Robin,Turdidae,Passeriformes,flap,passerine,80,USA,N America,both,ad,Y,-0.0023,48,Contingency,Survival,Returns,annual,GLS,Leg loop harness,Harness,Back,1.8,2.25%,0.0225,365,Brown Unpub 2011Survival,1,,,
