"","paper","Journal","DOI","Altmetric.score","Policy","Patent"
"1","Streetlights Disrupt Night-Time Sleep in Urban Black Swans","Frontiers in Ecology and Evolution","10.3389/fevo.2020.00131",15.25,0,0
"2",NA,NA,NA,0,0,0
"3","Bright light at night alters the perception of daylength in Indian weaver bird (Ploceus philippinus)","THE JOURNAL OF EXPERIMENTAL ZOOLOGY","10.1002/jez.2201",0.5,0,0
"4","Can skyglow reduce nocturnal melatonin concentrations in Eurasian perch?","Environmental Pollution","10.1016/j.envpol.2020.114324",94.76,0,0
"5","Artificial light at night affects brain plasticity and melatonin in birds","Neuroscience Letters","10.1016/j.neulet.2019.134639",4.5,0,0
"6","The effects of low levels of light at night upon the endocrine physiology of western scrub©\jays (Aphelocoma californica)","THE JOURNAL OF EXPERIMENTAL ZOOLOGY","10.1002/jez.1816",10,0,0
"7","Illuminated night alters hippocampal gene expressions and induces depressive©\like responses in diurnal corvids","European Journal of Neuroscience","10.1111/ejn.14157",37.9,0,0
"8","Broad-spectrum light pollution suppresses melatonin and increases West Nile virus¨Cinduced mortality in House Sparrows (Passer domesticus)","Ornithological Applications","10.1093/condor/duaa018",18.3,0,0
"9","Artificial light pollution: Shifting spectral wavelengths to mitigate physiological and health consequences in a nocturnal marsupial mammal","THE JOURNAL OF EXPERIMENTAL ZOOLOGY","10.1002/jez.2163",87.31,0,0
"10","Dose-dependent responses of avian daily rhythms to artificial light at night","Physiology & Behavior","10.1016/j.physbeh.2015.12.012",17.1,0,0
"11","Artificial light at night desynchronizes strictly seasonal reproduction in a wild mammal","Proceedings of the Royal Society B: Biological Sciences","10.1098/rspb.2015.1745",112.66,2,0
"12","Effect of urban environment on pineal machinery and clock genes expression of tree sparrow (Passer montanus)","Environmental Pollution","10.1016/j.envpol.2019.113278",17.25,0,0
"13","Exposure to artificial light at night alters innate immune response in wild great tit nestlings","Journal of Experimental Biology","10.1242/jeb.239350",9.3,0,0
"14","Revealing a Circadian Clock in Captive Arctic-Breeding Songbirds, Lapland Longspurs (Calcarius lapponicus), under Constant Illumination","Journal of Biological Rhythms","10.1177/0748730414552323",0.5,0,0
"15","Spectral and duration sensitivity to light-at-night in ¡®blind¡¯ and sighted rodent species","Journal of Experimental Biology","10.1242/jeb.058883",0.5,0,0
"16","Urban-like night illumination reduces melatonin release in European blackbirds (Turdus merula): implications of city life for biological time-keeping of songbirds","Frontiers in Zoology","10.1186/1742-9994-10-60",90.838,1,0
